tier,seq_id,length,variant,min_stem_length,include_substems,n_stems,n_conflict,n_nesting,representable,encoding_gap
M,M_ml03,36,Lmin3_maximal,3,False,16,82,21,False,6.5
M,M_ml03,36,Lmin3_substems,3,True,41,555,105,True,0.0
M,M_ml03,36,Lmin2_maximal,2,False,41,388,173,False,0.1
M,M_ml03,36,Lmin2_substems,2,True,108,2855,1158,True,0.1
M,M_ml04,37,Lmin3_maximal,3,False,14,63,12,True,0.0
M,M_ml04,37,Lmin3_substems,3,True,34,357,140,True,0.0
M,M_ml04,37,Lmin2_maximal,2,False,38,341,120,True,0.0
M,M_ml04,37,Lmin2_substems,2,True,95,2146,1130,True,5.0
M,M_ml05,39,Lmin3_maximal,3,False,16,81,25,True,0.0
M,M_ml05,39,Lmin3_substems,3,True,34,327,129,True,0.0
M,M_ml05,39,Lmin2_maximal,2,False,43,427,156,True,0.0
M,M_ml05,39,Lmin2_substems,2,True,101,2475,1097,True,2.4
M,M_ml06,41,Lmin3_maximal,3,False,13,38,27,True,0.0
M,M_ml06,41,Lmin3_substems,3,True,30,202,166,True,0.0
M,M_ml06,41,Lmin2_maximal,2,False,44,403,239,True,5.3
M,M_ml06,41,Lmin2_substems,2,True,94,1858,1436,True,5.3
M,M_ml07,44,Lmin3_maximal,3,False,16,63,28,True,0.0
M,M_ml07,44,Lmin3_substems,3,True,42,421,187,True,0.0
M,M_ml07,44,Lmin2_maximal,2,False,55,601,354,True,1.9
M,M_ml07,44,Lmin2_substems,2,True,124,3105,1832,True,1.9
M,M_ml08,48,Lmin3_maximal,3,False,14,45,26,True,0.0
M,M_ml08,48,Lmin3_substems,3,True,22,94,82,True,0.0
M,M_ml08,48,Lmin2_maximal,2,False,56,561,354,True,0.7
M,M_ml08,48,Lmin2_substems,2,True,96,1698,1308,True,0.7
M,M_ml09,54,Lmin3_maximal,3,False,17,65,13,True,1.0
M,M_ml09,54,Lmin3_substems,3,True,32,202,122,True,1.0
M,M_ml09,54,Lmin2_maximal,2,False,66,722,466,True,1.2
M,M_ml09,54,Lmin2_substems,2,True,122,2501,1736,True,1.2
M,M_ml10,58,Lmin3_maximal,3,False,27,171,73,True,4.7
M,M_ml10,58,Lmin3_substems,3,True,61,921,359,True,4.7
M,M_ml10,58,Lmin2_maximal,2,False,91,1288,851,True,16.1
M,M_ml10,58,Lmin2_substems,2,True,193,6570,4133,True,5.7
